vardekod,vardebenamning
146j,"Lärarutbildning, trä- och metallslöjd samt textilslöjd"
146k,"Lärarutbildning, idrott och hälsa"
146l,"Lärarutbildning, hem- och konsumentkunskap"
146x,Lärarutbildning i annat yrkesämne och praktisk-estetiska ämnen
149,"Pedagogik och lärarutbildning, övrig och ospecificerad utbildning"
149a,Specialpedagogutbildning
149b,Modersmålslärarutbildning
149c,Skolledarutbildning
149d,Speciallärarutbildning
149x,Annan utbildning inom pedagogik och lärarutbildning
2,Humaniora och konst
21,Konst och media
210,"Konst och media, allmän utbildning"
210z,"Konst och media, allmän utbildning"
211,Bild- och formkonst
211a,Bild- och formkonstnärlig utbildning
211b,Konstvetenskap och konsthistoria
211x,Annan utbildning inom bild- och formkonst
212,"Musik, dans och dramatik"
212a,Musik
212b,"Dans, teater och dramatik"
212c,"Musik-, dans-, film- och teatervetenskap samt -historia"
212x,"Annan utbildning inom musik, dans och dramatik"
213,Medieproduktion
213a,"Medieproduktion, allmän utbildning"
213b,"Film-, radio- och tv-produktion"
213c,Grafisk teknik
213d,Grafisk design och foto
213x,Annan utbildning inom medieproduktion
214,Formgivning
214a,Modedesign
214b,Inredningsarkitektur och inredningsdesign
214c,Industri- och produktdesign
214x,Annan utbildning inom formgivning
215,Konsthantverk
215z,Konsthantverk
219,"Konst och media, övrig och ospecificerad utbildning"
219z,"Konst och media, övrig och ospecificerad utbildning"
22,Humaniora
220,"Humaniora, allmän utbildning"
220z,"Humaniora, allmän utbildning"
221,Religion
221a,Religionsvetenskap och teologi
221b,"Pastors-, missionärs- och diakonutbildning"
221x,Annan utbildning i religion
222,Främmande språk och språkvetenskap
222a,Allmän språkkunskap och allmänt språkliga utbildningar
222b,Engelska
222c,Tyska
222d,Franska
222e,Spanska
222f,Ryska
222g,Svenska som främmande språk
222h,Arabiska
222i,Kinesiska
222j,Japanska
222k,Översättning och tolkning
222x,Annan utbildning i främmande språk
223,Svenska och litteraturvetenskap
223a,Svenska och nordiska språk
223b,Svenska minoritetsspråk
223c,Modersmålsutbildning och teckenspråk
223d,Litteraturvetenskap och litteraturhistoria
223x,Annan utbildning i svenska och litteraturvetenskap
225,Historia och arkeologi
225a,Historia
225b,Arkeologi
225c,"Kulturvård, kulturadministration och museivetenskap"
225x,Annan utbildning inom historia och arkeologi
226,Filosofi och logik
226z,Filosofi och logik
229,"Humaniora, övrig och ospecificerad utbildning"
229z,"Humaniora, övrig och ospecificerad utbildning"
3,"Samhällsvetenskap, juridik, handel, administration"
31,Samhälls- och beteendevetenskap
310,"Samhälls- och beteendevetenskap, allmän utbildning"
310a,"Beteendevetenskap, allmän utbildning"
310b,"Samhällsvetenskap, allmän utbildning"
310x,Annan bred utbildning i samhälls- och beteendevetenskap
311,Psykologi
311a,Psykologutbildning
311b,"Psykologutbildning, inklusive fullgjord praktiktjänstgöring (PTP)"
311c,Psykoterapeututbildning
311x,Annan utbildning i psykologi
312,"Sociologi, etnologi och kulturgeografi"
312a,Sociologi
312b,Socialantropologi och etnologi
312c,Kultur- och samhällsgeografi
312x,"Annan utbildning i sociologi, etnologi och kulturgeografi"
313,Statsvetenskap
313z,Statsvetenskap
314,Nationalekonomi och ekonomisk historia
314a,Nationalekonomi
314b,Ekonomisk historia
314x,Annan utbildning i nationalekonomi och ekonomisk historia
319,"Samhälls- och beteendevetenskap, övrig och ospecificerad utbildning"
319z,"Samhälls- och beteendevetenskap, övrig och ospecificerad utbildning"
32,Journalistik och information
320,"Journalistik och information, allmän utbildning"
320z,"Journalistik och information, allmän utbildning"
321,Journalistik och medievetenskap
321a,Journalistik
321b,Medie- och kommunikationsvetenskap
321x,Annan utbildning i journalistik och medievetenskap
322,Biblioteks- och dokumentationsvetenskap
322a,Bibliotekarieutbildning samt biblioteks- och informationsvetenskap
322b,Dokumentations- och informationsvetenskap
322x,Annan utbildning i biblioteks- och dokumentationsvetenskap
329,"Journalistik och information, övrig och ospecificerad utbildning"
329z,"Journalistik och information, övrig och ospecificerad utbildning"
34,"Företagsekonomi, handel och administration"
340,"Företagsekonomi, handel och administration, allmän utbildning"
340a,"Företagsekonomi, allmän utbildning"
340b,"Företagsekonomi, finansiering"
340c,"Företagsekonomi, marknadsföring"
340d,"Företagsekonomi, organisation och management"
340e,"Företagsekonomi, redovisning"
340f,"Företagsekonomi, annan inriktning"
340g,Handel och administration
340x,"Annan bred utbildning i företagsekonomi, handel och administration"
341,"Inköp, försäljning och distribution"
341z,"Inköp, försäljning och distribution"
342,Marknadsföring
342z,Marknadsföring
343,"Bank, försäkring och finansiering"
343z,"Bank, försäkring och finansiering"
344,Redovisning och beskattning
344z,Redovisning och beskattning
345,Ledning och administration
345a,"Ledarskap, organisation och styrning"
345b,Administration och förvaltning
345c,Personal- och löneadministration
345x,Annan utbildning i ledning och administration
346,Kontorsservice och sekreterartjänster
346a,Utbildning till medicinsk sekreterare
346x,Annan utbildning i kontorsservice och sekreterartjänster
347,Arbetsplatsrelaterad utbildning
347z,Arbetsplatsrelaterad utbildning
349,"Företagsekonomi, handel och administration, övrig och ospecificerad utbildning"
349z,"Företagsekonomi, handel och administration, övrig och ospecificerad utbildning"
38,Juridik och rättsvetenskap
380,Juridik och rättsvetenskap
380a,Juristutbildning (juristexamen)
380b,"Juristutbildning (juristexamen), inklusive fullgjord notarietjänstgöring"
380c,Rättsvetenskaplig utbildning
380x,Annan utbildning i juridik och rättsvetenskap
4,"Naturvetenskap, matematik och informations- och kommunikationsteknik (IKT)"
42,Biologi och miljövetenskap
420,"Biologi och miljövetenskap, allmän utbildning"
420z,"Biologi och miljövetenskap, allmän utbildning"
421,Biologi och biokemi
421a,Biologi
421b,"Biokemi, toxikologi, farmakologi och nutrition"
421x,Annan utbildning i biologi och biokemi
422,Miljövetenskap
422z,Miljövetenskap
423,Miljövård och miljöskydd
423z,Miljövård och miljöskydd
424,Naturvård och djurskydd
424z,Naturvård och djurskydd
429,"Biologi och miljövetenskap, övrig och ospecificerad utbildning"
429z,"Biologi och miljövetenskap, övrig och ospecificerad utbildning"
44,"Fysik, kemi och geovetenskap"
440,"Fysik, kemi och geovetenskap, allmän utbildning"
440z,"Fysik, kemi och geovetenskap, allmän utbildning"
441,Fysik
441z,Fysik
442,Kemi
442z,Kemi
443,Geovetenskap och naturgeografi
443z,Geovetenskap och naturgeografi
449,"Fysik, kemi och geovetenskap, övrig och ospecificerad utbildning"
449z,"Fysik, kemi och geovetenskap, övrig och ospecificerad utbildning"
46,Matematik och övrig naturvetenskap
460,"Matematik och naturvetenskap, allmän utbildning"
460z,"Matematik och naturvetenskap, allmän utbildning"
461,Matematik
461z,Matematik
462,Statistik
462z,Statistik
469,"Matematik och naturvetenskap, övrig och ospecificerad utbildning"
469z,"Matematik och naturvetenskap, övrig och ospecificerad utbildning"
48,Informations- och kommunikationsteknik (IKT)
480,"Informations- och kommunikationsteknik (IKT), allmän utbildning"
480z,"Informations- och kommunikationsteknik (IKT), allmän utbildning"
481,Datavetenskap och systemvetenskap
481a,Systemutveckling och programmering
481b,Datavetenskap
481x,Annan utbildning inom datavetenskap och systemvetenskap
482,Datoranvändning
482z,Datoranvändning
489,"Informations- och kommunikationsteknik (IKT), övrig och ospecificerad utbildning"
489z,"Informations- och kommunikationsteknik (IKT), övrig och ospecificerad utbildning"
5,Teknik och tillverkning
52,Teknik och teknisk industri
520,"Teknik och teknisk industri, allmän utbildning"
520a,"Civilingenjörsutbildning, generell teknik och teknisk fysik"
520b,"Ingenjörsutbildning, generell teknik och teknisk fysik"
520x,Annan bred utbildning i teknik och teknisk industri
521,Maskinteknik och verkstadsteknik
521a,"Civilingenjörsutbildning, maskinteknik"
521b,"Ingenjörsutbildning, maskinteknik"
521c,Industri och verkstadsteknik
521x,Annan utbildning i maskinteknik och verkstadsteknik
522,Energi- och elektroteknik
522a,"Civilingenjörsutbildning, energi- och elektroteknik"
522b,"Ingenjörsutbildning, energi- och elektroteknik"
522c,Elektrisk installation och elmekanik
522d,"Energi, drift och underhåll"
522x,Annan utbildning i energi- och elektroteknik
523,"Elektronik, datateknik och automation"
523a,"Civilingenjörsutbildning, datateknik"
523b,"Civilingenjörsutbildning, automation och elektronik"
523c,"Ingenjörsutbildning, datateknik"
523d,"Ingenjörsutbildning, automation och elektronik"
523e,"Elektronik-, tele- och datatekniskt arbete"
523f,Automation
523x,"Annan utbildning i elektronik, datateknik och automation"
524,Kemi- och bioteknik
524a,"Civilingenjörsutbildning, kemi- och bioteknik"
524b,"Ingenjörsutbildning, kemi- och bioteknik"
524c,Laboratorieteknik
524d,Processindustriteknik
524x,Annan utbildning i kemi- och bioteknik
525,Fordons- och farkostteknik
525a,"Civilingenjörsutbildning, fordons- och farkostteknik"
525b,"Ingenjörsutbildning, fordons- och farkostteknik"
525c,Fordonsteknik
525d,Fartygs- och flygteknik
525x,Annan utbildning i fordons- och farkostteknik
526,Industriell ekonomi och organisation
526a,"Civilingenjörsutbildning, industriell ekonomi och organisation"
526b,"Ingenjörsutbildning, industriell ekonomi och organisation"
526x,Annan utbildning i industriell ekonomi och organisation
527,Miljöteknik och miljökontroll
527a,"Civilingenjörsutbildning, miljöteknik"
527b,"Ingenjörsutbildning, miljöteknik"
527x,Annan utbildning i miljöteknik och miljökontroll
529,"Teknik och teknisk industri, övrig och ospecificerad utbildning"
529a,"Civilingenjörsutbildning, övrig och ospecificerad utbildning"
529b,"Ingenjörsutbildning, övrig och ospecificerad utbildning"
529x,Annan utbildning inom teknik och teknisk industri
54,Material och tillverkning
540,"Material och tillverkning, allmän utbildning"
540a,"Civilingenjörsutbildning, materialteknik"
540b,"Ingenjörsutbildning, materialteknik"
540x,Annan bred utbildning i material och tillverkning
541,Tillverkning och hantering av livsmedel
541a,"Civilingenjörsutbildning, livsmedel"
541b,"Ingenjörsutbildning, livsmedel"
541c,"Tillverkning och hantering av livsmedel, allmän utbildning"
541d,Kött och charkuteri
541e,Bageri och konditori
541x,Annan utbildning i tillverkning och hantering av livsmedel
542,"Tillverkning av textilier, konfektion och lädervaror"
542a,"Civilingenjörsutbildning, textilteknologi"
542b,"Ingenjörsutbildning, textilteknologi"
542c,Tillverkning av textilier och konfektion
542d,Sko- och läderarbete
542x,"Annan utbildning inom textilier, konfektion och läder"
543,"Tillverkning av produkter av trä, papper, glas, porslin och plast"
543a,"Civilingenjörsutbildning, trä, papper, glas, porslin och plast"
543b,"Ingenjörsutbildning, trä, papper, glas, porslin och plast"
543c,Trätekniskt arbete
543d,Pappersmassa- och papperstillverkning
543e,Glas- och porslinstillverkning
543f,Tillverkning av plast- och gummiprodukter
543x,Annan utbildning i tillverkning i specifikt material
544,Berg- och mineralteknik
544a,"Civilingenjörsutbildning, berg- och mineralteknik"
544b,"Ingenjörsutbildning, berg- och mineralteknik"
544c,Gruv- och järnbruksarbete
544x,Annan utbildning inom berg- och mineralteknik
549,"Material och tillverkning, övrig och ospecificerad utbildning"
549z,"Material och tillverkning, övrig och ospecificerad utbildning"
58,Samhällsbyggnad och byggnadsteknik
580,"Samhällsbyggnad och byggnadsteknik, allmän utbildning"
580a,"Civilingenjörsutbildning, bred inriktning mot byggande"
580b,"Ingenjörsutbildning, bred inriktning mot byggande"
580x,Annan bred utbildning inom samhällsbyggnad och byggnadsteknik
581,Samhällsbyggnad och arkitektur
581a,"Civilingenjörsutbildning, samhällsbyggnad och samhällsmiljö"
581b,"Ingenjörsutbildning, samhällsbyggnad och samhällsmiljö"
581c,Arkitektutbildning
581d,Landskapsarkitektutbildning
581e,Landskapsingenjörsutbildning
581x,Annan utbildning inom samhällsbyggnad och arkitektur
582,Byggnadsteknik och anläggningsteknik
582a,"Civilingenjörsutbildning, byggnadsteknik"
582b,"Ingenjörsutbildning, byggnadsteknik"
582c,"Byggnadsarbete, allmän utbildning"
582d,Byggnadssnickeri
582e,Måleri
582f,VVS-utbildning
582g,"Betong-, anläggnings- och vägarbete"
582h,Murarutbildning
582i,Plåtslageri
582x,Annan utbildning inom byggnads- och anläggningsteknik
589,"Samhällsbyggnad och byggnadsteknik, övrig och ospecificerad utbildning"
589z,"Samhällsbyggnad och byggnadsteknik, övrig och ospecificerad utbildning"
6,Lant- och skogsbruk samt djursjukvård
62,"Lantbruk, trädgård, skog och fiske"
620,"Lantbruk, trädgård, skog och fiske, allmän utbildning"
620z,"Lantbruk, trädgård, skog och fiske, allmän utbildning"
621,Lantbruk
621a,Agronomutbildning
621b,Lantmästarutbildning
621c,Utbildning i lantbruk
621d,Utbildning i jordbruk
621e,Utbildning i djurhållning
621f,Utbildning i hästhållning
621g,Utbildning i djurvård
621x,Annan utbildning inom lantbruk
622,Trädgård
622a,Hortonomutbildning
622b,Trädgårdsingenjörs- och trädgårdsteknikerutbildning
622c,Utbildning i trädgårdsbruk
622x,Annan utbildning inom trädgård
623,Skog
623a,Jägmästar- och skogsvetarutbildning
623b,"Skogsmästar-, skogstekniker- och skogsingenjörsutbildning"
623c,Utbildning i skogsbruk
623x,Annan utbildning inom skog
624,Fiske och vattenbruk
624z,Fiske och vattenbruk
629,"Lantbruk, trädgård, skog och fiske, övrig och ospecificerad utbildning"
629z,"Lantbruk, trädgård, skog och fiske, övrig och ospecificerad utbildning"
64,Djursjukvård
640,Djursjukvård
640a,Veterinärutbildning
640b,Djursjukskötarutbildning
640x,Annan utbildning inom djursjukvård
7,Hälso- och sjukvård samt social omsorg
72,Hälso- och sjukvård
720,"Hälso- och sjukvård, allmän utbildning"
720z,"Hälso- och sjukvård, allmän utbildning"
721,Medicin
721a,Läkarutbildning
721b,"Läkarutbildning, inklusive fullgjord allmäntjänstgöring (AT)"
721c,"Läkarutbildning, kirurgiska specialiteter"
721d,"Läkarutbildning, invärtesmedicinska specialiteter"
721e,"Läkarutbildning, barn- och ungdomsmedicinska specialiteter"
721f,"Läkarutbildning, enskilda basspecialiteter, exklusive allmänmedicin"
721g,"Läkarutbildning, allmänmedicin"
721h,"Läkarutbildning, psykiatriska specialiteter"
721i,"Läkarutbildning, bild- och funktionsmedicinska specialiteter"
721j,"Läkarutbildning, laboratoriemedicinska specialiteter"
721k,"Läkarutbildning, neurologiska specialiteter"
721l,"Läkarutbildning, tilläggsspecialiteter"
721m,"Läkarutbildning, annan specialistkompetens"
721x,Annan utbildning inom medicin
723,Omvårdnad
723a,"Sjuksköterskeutbildning, grundutbildning"
723b,"Specialistsjuksköterskeutbildning, ambulanssjukvård"
723c,"Specialistsjuksköterskeutbildning, anestesisjukvård"
723d,"Specialistsjuksköterskeutbildning, intensivvård"
723e,"Specialistsjuksköterskeutbildning, operationssjukvård"
723f,"Specialistsjuksköterskeutbildning, kirurgisk vård"
723g,"Specialistsjuksköterskeutbildning, medicinsk vård"
723h,"Specialistsjuksköterskeutbildning, distriktssköterska"
723i,"Specialistsjuksköterskeutbildning, barn och ungdom"
723j,"Specialistsjuksköterskeutbildning, onkologisk vård"
723k,"Specialistsjuksköterskeutbildning, psykiatrisk vård"
723l,"Specialistsjuksköterskeutbildning, vård av äldre"
723m,"Specialistsjuksköterskeutbildning, öppen och annan inriktning"
723n,Barnmorskeutbildning
723o,"Annan omvårdnadsutbildning, allmän vård och omsorg"
723p,"Annan omvårdnadsutbildning, sjukvård"
723q,"Annan omvårdnadsutbildning, psykiatrisk vård"
723r,"Annan omvårdnadsutbildning, äldreomsorg"
723s,"Annan omvårdnadsutbildning, psykiskt funktionsnedsatta"
723t,"Annan omvårdnadsutbildning, funktionsnedsatta"
723u,"Annan omvårdnadsutbildning, övriga inriktningar"
723x,Annan utbildning inom omvårdnad
724,Tandvård
724a,Tandläkarutbildning
724b,"Tandläkarutbildning, specialiteter för barn och ungdomar"
724c,"Tandläkarutbildning, specialiteter för vuxna"
724d,Tandhygienistutbildning
724e,Tandsköterskeutbildning
724f,Tandteknikerutbildning
724x,Annan utbildning inom tandvård
725,Tekniskt inriktad vårdutbildning
725a,Optikerutbildning
725b,Audionomutbildning
725c,Ortopedingenjörsutbildning
725d,Biomedicinsk analytikerutbildning
725e,Sjukhusfysikerutbildning
725f,Röntgensjuksköterskeutbildning
725x,Annan tekniskt inriktad vårdutbildning
726,"Terapi, rehabilitering och kostbehandling"
726a,Fysioterapeututbildning
726b,Arbetsterapeututbildning
726c,Logopedutbildning
726d,Dietistutbildning
726e,Kiropraktorutbildning
726f,Naprapatutbildning
726x,"Annan utbildning inom terapi, rehabilitering och kostbehandling"
727,Farmaci
727a,Apotekarutbildning
727b,Receptarieutbildning
727x,Annan utbildning inom farmaci
729,"Hälso- och sjukvård, övrig och ospecificerad utbildning"
729z,"Hälso- och sjukvård, övrig och ospecificerad utbildning"
76,Socialt arbete och omsorg
760,"Socialt arbete och socialt omsorgsarbete, allmän utbildning"
760z,"Socialt arbete och socialt omsorgsarbete, allmän utbildning"
761,Barn och ungdom
761a,"Barn och ungdom, allmän utbildning"
761b,Barnomsorg
761c,Fritidsverksamhet för barn och ungdom
761x,Annan utbildning inom barn och ungdom
762,Socialt arbete
762a,"Socialt omsorgsarbete, allmän utbildning"
762b,"Social omsorgsutbildning, äldre och funktionsnedsatta"
762c,"Social omsorgsutbildning, socialpedagogisk behandling"
762d,Socionomutbildning
762e,Hälso- och sjukvårdskuratorutbildning
762f,Studie- och yrkesvägledarutbildning
762x,Annan utbildning inom socialt arbete
769,"Socialt arbete och socialt omsorgsarbete, övrig och ospecificerad utbildning"
769z,"Socialt arbete och socialt omsorgsarbete, övrig och ospecificerad utbildning"
8,Tjänster
81,Personliga tjänster
810,"Personliga tjänster, allmän utbildning"
810z,"Personliga tjänster, allmän utbildning"
811,"Hotell, restaurang och storhushåll"
811a,"Hotell, restaurang och storhushåll, allmän utbildning"
811b,Utbildning för hotell
811c,Utbildning för restaurang
811d,Utbildning för storhushåll
811x,"Annan utbildning inom hotell, restaurang och storhushåll"
812,"Turism, resor och fritid"
812z,"Turism, resor och fritid"
813,Idrott och friskvård
813z,Idrott och friskvård
814,Hushållstjänster och lokalvård
814a,"Hem- och hushållsvetenskap, allmän utbildning"
814b,Utbildning för lokalvård
814x,Annan utbildning inom hushållstjänster och lokalvård
815,"Hårvård, skönhetsvård och massage"
815a,Utbildning inom hår- och skönhetsvård
815b,Massageutbildning
815x,Annan utbildning inom hår- och skönhetsvård samt massage
819,"Personliga tjänster, övrig och ospecificerad utbildning"
819z,"Personliga tjänster, övrig och ospecificerad utbildning"
84,Transporttjänster
840,Transporttjänster
840a,"Transporttjänster, allmän utbildning"
840b,Utbildning för landtransporter
840c,Utbildning för sjöfart
840d,Utbildning för luftfart
840e,Utbildning för postservice
840x,Annan utbildning inom transporttjänster
85,Arbetsmiljö och renhållning
850,"Arbetsmiljö och renhållning, allmän utbildning"
850z,"Arbetsmiljö och renhållning, allmän utbildning"
851,Arbetsmiljö och arbetarskydd
851z,Arbetsmiljö och arbetarskydd
852,Renhållning och avfallshantering
852z,Renhållning och avfallshantering
859,"Arbetsmiljö och renhållning, övrig och ospecificerad utbildning"
859z,"Arbetsmiljö och renhållning, övrig och ospecificerad utbildning"
86,Säkerhetstjänster
860,"Säkerhetstjänster, allmän utbildning"
860z,"Säkerhetstjänster, allmän utbildning"
861,Säkerhet i samhället
861a,Polisutbildning
861b,Utbildning för brandskydd och annan räddningstjänst
861c,Kriminalvårdsutbildning
861x,Annan utbildning inom säkerhet i samhället
863,Militär utbildning
863a,Officersutbildning
863b,Chefsutbildning för officerare
863x,Annan militär utbildning
869,"Säkerhetstjänster, övrig och ospecificerad utbildning"
869z,"Säkerhetstjänster, övrig och ospecificerad utbildning"
9,Okänd
99,Okänd
999,Okänd
999z,Okänd
