vardekod,vardebenamning
01,Jordbruk och jakt samt service i anslutning härtill
011,Odling av ett- och tvååriga växter
0111,"Odling av spannmål (utom ris), baljväxter och oljeväxter"
01110,"Odling av spannmål (utom ris), baljväxter och oljeväxter"
0112,Odling av ris
01120,Odling av ris
0113,"Odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar"
01131,Potatisodling
01132,Sockerbetsodling
01133,Odling av grönsaker (köksväxter) på friland
01134,Odling av grönsaker (köksväxter) i växthus
01135,Svampodling m.m.
0114,Odling av sockerrör
01140,Odling av sockerrör
0115,Odling av tobak
01150,Odling av tobak
0116,Odling av fiberväxter
01160,Odling av fiberväxter
0119,Odling av andra ett- och tvååriga växter
01191,Odling av prydnadsväxter i växthus
01199,Odling av övriga ett- och tvååriga växter
012,Odling av fleråriga växter
0121,Odling av druvor
01210,Odling av druvor
0122,Odling av tropiska och subtropiska frukter
01220,Odling av tropiska och subtropiska frukter
0123,Odling av citrusfrukter
01230,Odling av citrusfrukter
0124,Odling av kärnfrukter och stenfrukter
01240,Odling av kärnfrukter och stenfrukter
0125,Odling av andra frukter och bär samt nötter
01250,Odling av andra frukter och bär samt nötter
0126,Odling av oljehaltiga frukter
01260,Odling av oljehaltiga frukter
0127,Odling av växter för dryckesframställning
01270,Odling av växter för dryckesframställning
0128,"Odling av kryddväxter, drog- och medicinalväxter"
01280,"Odling av kryddväxter, drog- och medicinalväxter"
0129,Odling av andra fleråriga växter
01290,Odling av andra fleråriga växter
013,Odling av plantskoleväxter
0130,Odling av plantskoleväxter
01301,Odling av plantskoleväxter i växthus
01302,Odling av plantskoleväxter m.m. på friland
014,Husdjursskötsel
0141,Mjölkproduktion och uppfödning av nötkreatur av mjölkras
01410,Mjölkproduktion och uppfödning av nötkreatur av mjölkras
0142,Uppfödning av andra nötkreatur och bufflar
01420,Uppfödning av andra nötkreatur och bufflar
0143,Uppfödning av hästar och andra hästdjur
01430,Uppfödning av hästar och andra hästdjur
0144,Uppfödning av kameler och kameldjur
01440,Uppfödning av kameler och kameldjur
0145,Uppfödning av får och getter
01450,Uppfödning av får och getter
0146,Uppfödning av svin
01461,Uppfödning av smågrisar
01462,Uppfödning av slaktsvin
0147,Äggproduktion och uppfödning av fjäderfä
01471,Äggproduktion (för försäljning)
01472,"Uppfödning av fjäderfä, ej äggproduktion"
0149,Uppfödning av andra djur
01491,Renskötsel
01492,Uppfödning av sällskapsdjur
01499,Övrig uppfödning av andra djur
015,Blandat jordbruk
0150,Blandat jordbruk
01500,Blandat jordbruk
016,Service till jordbruk och bearbetning av skördade växter
0161,Service till växtodling
01610,Service till växtodling
0162,Service till husdjursskötsel
01620,Service till husdjursskötsel
0163,Bearbetning av skördade växter
01630,Bearbetning av skördade växter
0164,Bearbetning av utsäde
01640,Bearbetning av utsäde
017,Jakt och service i anslutning härtill
0170,Jakt och service i anslutning härtill
01700,Jakt och service i anslutning härtill
02,Skogsbruk
021,Skogsförvaltning och skogsskötsel
0210,Skogsförvaltning och skogsskötsel
02101,Skogsförvaltning
02102,Skogsskötsel
02109,Övrig skoglig verksamhet
022,Drivning
0220,Drivning
02200,Drivning
023,Insamling av annat vilt växande skogsmaterial än trä
0230,Insamling av annat vilt växande skogsmaterial än trä
02300,Insamling av annat vilt växande skogsmaterial än trä
024,Service till skogsbruk
0240,Service till skogsbruk
02401,Virkesmätning
02409,Övrig service till skogsbruk
03,Fiske och vattenbruk
031,Fiske
0311,Saltvattensfiske
03111,Trålfiske i saltvatten
03119,Övrigt saltvattensfiske
0312,Sötvattensfiske
03120,Sötvattensfiske
032,Vattenbruk
0321,Fiskodling i salvatten
03210,Fiskodling i saltvatten
0322,Fiskodling i sötvatten
03220,Fiskodling i sötvatten
05,Kolutvinning
051,Stenkolsutvinning
0510,Stenkolsutvinning
05100,Stenkolsutvinning
052,Brunkolsutvinning
0520,Brunkolsutvinning
05200,Brunkolsutvinning
06,Utvinning av råpetroleum och naturgas
061,Utvinning av råpetroleum
0610,Utvinning av råpetroleum
06100,Utvinning av råpetroleum
062,Utvinning av naturgas
0620,Utvinning av naturgas
06200,Utvinning av naturgas
07,Utvinning av metallmalmer
071,Järnmalmsutvinning
0710,Järnmalmsutvinning
07100,Järnmalmsutvinning
072,Utvinning av andra metallmalmer än järnmalm
0721,Utvinning av uran- och toriummalm
07210,Utvinning av uran- och toriummalm
0729,Utvinning av annan malm
07290,Utvinning av annan malm
08,Annan utvinning av mineral
081,"Utvinning av sand, grus, sten och lera"
0811,"Brytning av natursten, kalk- och gipssten, krita och skiffer"
